firm_id,diversity,inclusion,equity
1&1 Drillisch AG,0.024,0.3457,1.1061
36kr Holdings Inc,0.4921,1.9712,1.1615
AAC Holdings Inc,1.8294,0.906,0.6881
AAK AB (publ),0.4208,1.0191,0.2286
AB SKF,0.1625,1.4011,0.6049
ABB India Ltd,0.1423,0.8694,0.6556
ABN Amro Bank NV,1.5864,3.7419,7.1167
ACM Research Inc,0.0917,0.7765,0.5785
ADVA Optical Networking SE,0.18109999999999998,1.12405,0.9354499999999999
AGCO Corp,0.4938,2.0182,0.6734
AIB Group plc,1.2727,5.5043,6.5187
AIR Canada,0.407275,2.42735,0.7958999999999999
AK Alrosa PAO,0.448925,1.0949499999999999,0.817875
ALD SA,0.0365,0.7482,0.7583
ALM. Brand A/S,0.0634,0.5247,1.2442
AMAG Pharmaceuticals Inc,31.5088,1.3181,0.6567
AMC Entertainment Holdings Inc,0.1464,0.6021,0.5214
AP Moeller - Maersk A/S,0.2259,1.6867,3.36935
ARC Resources Ltd,0.2943,1.7945,0.8978
ASM International NV,0.2481,1.52005,0.51035
ASML Holding NV,1.4313,1.8867,8.1546
ASR Nederland NV,1.4417499999999999,4.2254000000000005,14.7529
AT&T Inc,0.2372,0.642,0.7358
AXIS Capital Holdings Ltd,0.1091,1.1470500000000001,0.96655
AZZ Inc,0.3354,1.0493,0.5742
Aalberts NV,0.2817,0.9132,0.9129
Aareal Bank AG,0.0997,0.5802,0.4841
Abacus Property Group,0.2213,1.7988,1.6634
Abcam PLC,3.5149,2.8412,0.8034
Abengoa SA,0.0,3.5473,0.7793
Abeona Therapeutics Inc,11.1126,1.7819,0.5914
Abiomed Inc,15.0709,0.9339,0.1426
Absolute Software Corp,0.9112,1.1928,0.7151
Accent Group Ltd,0.9822,0.5074,0.571
Acreage Holdings Inc,2.5541,3.9164,1.0911
Acuity Brands Inc,0.0281,2.5343,0.4621
AcuityAds Holdings Inc,0.0776,0.9225,0.8611
Adams Diversified Equity Fund Inc,0.0869,0.5475,0.5201
Adaptive Biotechnologies Corp,10.8938,0.9316,0.4415
AddLife AB,1.329925,1.118425,0.698925
Adesto Technologies Corp,0.0593,0.5402,0.5177
Adevinta ASA,0.11226666666666667,1.68,0.43096666666666666
Adidas AG,6.0278,3.56265,2.2580999999999998
Adient PLC,0.4288,0.2855,1.3183
Administradora de Activos Fibra Inn SC,0.0,0.6316,2.1439
Admiral Group PLC,0.2063,0.5764,0.3669
Adobe Inc,1.339925,3.776175,0.710275
Adva Optical Networking SE,0.363,1.0946500000000001,0.26325
Advanced Energy Industries Inc,0.0782,1.044,0.1133
Adverum Biotechnologies Inc,5.4792,0.5097,0.7696
Adyen NV,0.39495,1.20475,0.4888
Aecon Group Inc,0.2371,1.0281,0.4702
Aegon NV,0.9152,4.9653,9.2943
Aeroports de Paris SA,0.46205999999999997,1.23696,0.9964000000000001
Aflac Inc,1.5286,2.6307500000000004,3.3512
African Oxygen Ltd,0.5552,1.0292,0.923
Agilent Technologies Inc,2.0143,1.15,0.2901
Agilysys Inc,0.0,2.2131,0.7794
Agios Pharmaceuticals Inc,3.7278,1.3781,0.1239
Ahlstrom-Munksjo Oyj,0.1578,0.7401,1.1694
Air Liquide SA,1.1237,2.31135,3.9613
Air Products and Chemicals Inc,0.7904,0.7868,5.8317
Akbank TAS,0.0391,0.625,1.3409
Aker ASA,0.4871,1.0908,3.0502
Aker BP ASA,0.15804,1.40892,1.08458
Aker Solutions ASA,0.13319999999999999,1.31445,0.6077
Akka Technologies Se,0.73695,1.2852999999999999,0.7382
Akumin Inc,0.4745,0.3419,0.6122
Akzo Nobel NV,0.1657,0.7093,0.6552
Alarm.com Holdings Inc,0.54825,0.9528000000000001,0.39555
Alcoa Corp,0.1052,1.1051,1.3212
Alexander & Baldwin Inc,0.16866666666666666,0.8824722222222223,1.1437388888888889
Alexandria Real Estate Equities Inc,0.626,1.7602,0.8727
Alfa Laval AB,0.0,0.6164,0.3122
Alimentation Couche-Tard Inc,0.24105,1.5682999999999998,1.04665
Allegiant Travel Co,0.4829,0.9307,0.652
Allianz SE,0.46724,0.8454200000000001,1.7510999999999999
Allstate Corp,0.30893333333333334,0.55455,1.9043333333333334
Ally Financial Inc,0.51005,5.7719,2.78635
Almirall SA,1.9255,0.6044,1.1498
Alphabet Inc,0.9223,2.1005,1.1167
Alten SA,0.34253333333333336,0.7962666666666666,1.3409000000000002
Alteryx Inc,0.6655,1.8265,0.2092
Altice USA Inc,1.0146,0.5676,0.5402
Altran Technologies SA,0.2546,1.1545,0.9618
Altria Group Inc,3.0634,1.1458,1.7516
Alupar Investimento SA,0.0,1.0178,1.3523
Amadeus It Group SA,0.0994,0.3185,0.197
Amarin Corporation PLC,5.4484,2.7745,0.5669
Amaysim Australia Ltd,0.3183,1.3486,1.1982
Amdocs Ltd,0.0906,0.9676,0.4404
American Axle & Manufacturing Holdings Inc,0.0,0.2227,0.4706
American Express Co,0.4491,1.0083,0.2203
American Public Education Inc,1.38,1.1955,0.8962
American Tower Corp,0.7255,1.38,0.3694
AmerisourceBergen Corp,1.4201,2.7506,1.0237
Amneal Pharmaceuticals Inc,2.0712,0.5373,0.2247
Amphenol Corp,0.0981,1.3102,0.7788
