diversity,equity,inclusion,document_length,firm_id,time
0.0000,0.8094,0.3189,4077,Alexander & Baldwin Inc,2005
0.0000,2.1659,0.5415,3509,GCI Liberty Inc (Pre-Reincorporation),2017
0.0000,0.2082,0.9367,4804,ODP Corp,2005
0.1002,0.3507,1.0521,3992,ODP Corp,2005
0.0529,0.2907,0.9249,3784,ODP Corp,2005
0.0234,0.2575,0.6320,4272,ODP Corp,2005
0.0000,0.9743,0.7086,1129,Alexander & Baldwin Inc,2005
0.2249,0.3598,0.2923,4447,Match Group Inc,2017
0.0444,0.9773,0.8885,2251,Houlihan Lokey Inc,2017
0.2334,0.4669,1.4472,4284,Aon PLC (UK),2017
0.0561,0.6168,0.6728,3567,Alarm.com Holdings Inc,2017
0.1202,0.8413,0.2404,832,Dixie Group Inc,2017
0.0000,0.6948,0.4276,1871,KGHM Polska Miedz SA,2017
0.0620,2.0149,1.1159,3226,Gladstone Investment Corp,2017
0.1417,0.2834,1.2282,4234,ODP Corp,2017
0.0210,0.7577,0.3368,4751,Alexander & Baldwin Inc,2005
0.1260,0.7560,0.7140,2381,Alexander & Baldwin Inc,2017
0.0000,1.3357,1.4248,1123,Sprott Resource Holdings Inc,2017
0.4085,1.3164,2.5874,2203,Shawcor Ltd (Pre-Merger 1),2017
0.0523,0.9150,0.4967,3825,United Company RUSAL Plc,2017
0.1276,2.9974,2.3278,3136,ODP Corp,2005
0.5274,0.5882,0.4260,4930,Sanofi SA,2017
0.0000,0.2861,1.0490,3146,ODP Corp,2005
0.0000,0.8148,0.9272,3559,E*Trade Financial Corp,2005
0.2659,0.1329,0.4254,3761,Carnival Corp,2017
0.2162,0.2811,1.3299,9249,Rogers Corp,2017
0.0553,0.5252,0.9674,3618,NTT Docomo Inc,2017
0.2302,0.6140,0.4605,1303,Dixie Group Inc,2017
0.1190,0.5357,1.2698,5040,Six Flags Entertainment Corp,2017
0.0321,2.3787,1.1893,3111,Gladstone Investment Corp,2017
0.2054,0.2738,0.6846,4382,Match Group Inc,2017
0.0899,0.8768,0.9442,4448,Bouygues SA,2017
0.0000,0.8674,1.1565,2421,Alexander & Baldwin Inc,2017
0.0478,0.2392,0.9806,4181,ODP Corp,2017
0.0816,0.2040,0.6120,2451,Graco Inc,2019
0.0000,0.9828,0.8600,1628,KGHM Polska Miedz SA,2017
0.0350,1.2942,1.1542,2859,MS&AD Insurance Group Holdings Inc,2017
0.0785,0.4315,0.8631,2549,NAPCO Security Technologies Inc,2017
0.0939,1.1155,1.2565,8516,Alexander & Baldwin Inc,2017
0.7349,0.4979,0.6875,4218,Bristol-Myers Squibb Co,2017
0.3690,0.8856,0.5166,1355,AAC Holdings Inc,2017
0.1761,0.1320,0.7702,4544,Carnival Corp,2017
0.1461,0.8766,1.1200,4107,NTT Docomo Inc,2017
0.0000,2.6132,1.0453,2296,Gladstone Investment Corp,2017
0.0468,0.1404,0.5383,4273,Juniper Networks Inc,2017
0.1275,0.4462,0.5950,4706,Match Group Inc,2017
0.1121,0.9251,0.8971,3567,Jernigan Capital Inc,2017
0.0220,0.7272,0.4628,4538,Alexander & Baldwin Inc,2005
0.1037,0.2074,1.1061,2893,Universal Display Corp,2017
0.4511,0.1289,0.9023,4655,Royal Caribbean Cruises Ltd,2017
0.0651,0.2821,1.7144,4608,ODP Corp,2017
0.0929,0.7435,0.5576,1076,Dixie Group Inc,2017
0.0208,0.6861,1.1642,4810,Companhia Siderurgica Nacional,2017
0.0387,1.4302,0.5798,2587,KGHM Polska Miedz SA,2017
0.1232,0.9442,0.1642,2436,Adient PLC,2017
0.0000,0.6090,0.5769,3120,Avis Budget Group Inc,2017
0.1186,0.5929,1.7788,3373,General Motors Co,2017
0.3489,0.7295,1.0466,3153,Ford Motor Co,2017
0.1059,0.6351,0.3529,2834,Dana Inc,2017
0.1241,0.6203,0.1654,2418,Tenneco Inc,2017
0.0000,0.6656,0.5090,2554,American Axle & Manufacturing Holdings Inc,2017
0.0281,0.6459,0.5897,3561,Commerzbank AG,2018
0.2868,0.2459,0.8933,12202,Alarm.com Holdings Inc,2017
0.0000,0.7721,1.7647,2720,Aptiv PLC,2017
0.1119,0.8949,1.1186,2682,Aptiv PLC,2017
0.0000,0.5546,0.1706,2344,Siam Cement PCL,2019
0.0229,0.9153,0.6865,4370,Eramet SA,2018
0.1236,0.6024,0.7878,6474,Heidelberger Druckmaschinen AG,2019
0.0000,1.8082,1.8082,1272,Hexindai Inc,2017
0.1267,0.9377,1.7486,3946,MS&AD Insurance Group Holdings Inc,2017
0.0851,0.8797,1.2770,3524,NTT Docomo Inc,2018
3.7849,0.8843,0.7428,2827,Veru Inc,2018
0.0303,0.9997,0.9391,3301,Badger Meter Inc,2018
0.0728,2.1842,1.7838,2747,Gladstone Investment Corp,2018
0.0000,0.7143,1.6071,2800,Agilysys Inc,2018
0.6253,1.0272,0.8039,2239,Educational Development Corp,2018
0.5891,0.1746,0.5673,4583,Match Group Inc,2018
0.0823,0.6861,0.7409,3644,Trican Well Service Ltd,2018
0.0453,0.6343,0.4984,2207,Liquidity Services Inc,2018
0.1409,0.8457,0.7047,1419,Dorian LPG Ltd,2018
0.0000,0.9264,0.9264,1835,Inuvo Inc,2018
0.1878,3.0616,3.0992,5324,Pendal Group Ltd,2018
0.2090,0.4822,0.6430,6221,T-Mobile US Inc,2018
1.4224,0.5624,0.5293,3023,Reata Pharmaceuticals Inc,2018
0.0405,0.5129,0.4454,7409,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,2020
0.0000,0.5535,1.9188,2710,Axway Software SA,2018
0.1061,0.3448,1.4854,3770,ODP Corp,2018
0.0877,0.7014,0.7453,2281,Navios Maritime Holdings Inc,2018
1.6008,1.2241,1.9774,1062,Synthetic Biologics Inc,2018
1.3212,0.5440,1.6580,3860,Amarin Corporation PLC,2018
0.0276,0.7731,0.8559,3622,Alexander & Baldwin Inc,2018
0.2493,2.5641,1.5788,8424,Vallourec SA,2018
0.0478,0.9087,0.9087,2091,Culp Inc,2018
0.1384,1.1998,0.5999,2167,R C M Technologies Inc,2018
0.0000,0.9741,0.8243,2669,Alexander & Baldwin Inc,2018
0.0744,0.7812,0.5952,2688,ACM Research Inc,2018
0.1273,1.1036,1.1885,2356,CareDx Inc,2018
0.1359,0.9244,0.6525,3678,Alexander & Baldwin Inc,2005
0.1219,0.7010,1.1582,3281,Tidewater Inc,2018
0.7932,1.0372,4.0268,1639,Phillips 66,2018
0.0445,0.1780,0.3782,4495,Carnival Corp,2018
0.0628,0.9419,1.1303,3185,TransAtlantic Petroleum Ltd,2018
0.0497,0.7708,1.0443,4022,AXIS Capital Holdings Ltd,2018
0.0000,1.1938,0.5969,3183,NorthWestern Corp,2018
0.3092,0.9276,0.3092,2264,Alexander & Baldwin Inc,2005
0.0839,0.6709,0.5031,2385,Cervus Equipment Corp,2018
0.4774,1.0952,1.5445,3561,Huron Consulting Group Inc,2018
0.0243,0.1214,0.6557,4118,II-VI Inc,2018
0.1277,0.7024,1.2771,1566,Rocky Brands Inc,2018
0.0683,0.9110,0.8199,4391,Gogo Inc,2018
0.5440,0.5022,0.7951,4779,Match Group Inc,2018
0.0500,0.6500,0.3000,2000,LeMaitre Vascular Inc,2018
2.1505,0.7923,1.1885,1767,Eyenovia Inc,2018
0.2621,0.6739,1.0483,2671,SeaSpine Holdings Corp,2018
0.0872,1.7001,1.3949,2294,Unifin Financiera SAB de CV,2018
0.2665,0.2423,0.3392,4127,Royal Caribbean Cruises Ltd,2018
0.0368,0.6615,1.3230,2721,Horizon Global Corp,2018
0.0000,2.7753,1.4772,2234,Gladstone Investment Corp,2018
0.0392,0.6658,0.9399,5107,Companhia Siderurgica Nacional,2018
0.1889,3.2421,2.8801,6354,Novozymes A/S,2020
0.0000,1.0008,1.3087,1299,Grupo Gicsa SAB De CV,2018
0.0945,0.2205,1.4178,3174,ODP Corp,2018
0.0000,0.6655,0.4880,2254,Northstar Realty Europe Corp,2018
0.0000,1.0574,0.1602,3121,Commerzbank AG,2018
0.0673,0.8081,0.7744,2970,Alexander & Baldwin Inc,2018
0.0405,0.4860,1.8226,2469,Aqua Metals Inc,2018
3.0602,0.6910,0.3949,2026,Novavax Inc,2018
0.0000,0.6645,0.0906,3311,Leoni AG,2018
0.0000,1.9367,1.3699,2117,Unipol Gruppo SpA,2018
0.0398,1.3535,1.7914,2512,China XD Plastics Company Ltd,2018
0.0817,1.2255,1.3072,1224,CESP Companhia Energetica de Sao Paulo,2018
0.2568,0.1355,1.5051,14019,ODP Corp,2018
0.0000,1.2360,0.4494,2670,Societa Cattolica di Assicurazione Sc,2018
0.3203,1.8415,1.0408,2498,Powszechny Zaklad Ubezpieczen SA,2018
0.0495,1.4849,0.8249,6061,Tata Steel Ltd,2018
0.8804,0.1854,1.2512,2158,aTyr Pharma Inc,2018
0.0000,0.7163,1.0745,1396,Seven Bank Ltd,2018
0.0000,0.4730,0.6623,2114,ODP Corp,2018
0.0551,0.4129,0.4404,3633,JPMorgan Chase & Co,2020
1.1744,0.6762,0.3559,2810,Proteostasis Therapeutics Inc,2018
0.0862,0.4657,2.1042,5798,Wells Fargo & Co,2020
0.0494,0.6919,0.6672,4047,FedEx Corp,2019
0.0000,1.0592,0.4333,2077,Pendal Group Ltd,2018
0.0228,0.6619,0.7533,4381,Gogo Inc,2018
1.0040,2.1335,2.2339,3984,Sanofi SA,2020
0.0849,1.4013,0.4671,2355,Maire Tecnimont SpA,2018
0.1926,0.6740,0.6740,2077,DKSH Holding AG,2018
0.0000,0.7337,0.8632,2317,Usinas Siderurgicas de Minas Gerais SA USIMINAS,2018
0.0000,2.6055,1.5633,1919,Gladstone Investment Corp,2018
0.0445,0.8463,0.8018,2245,Carparts.Com Inc,2018
0.1421,0.8053,1.3264,2111,Oxford Instruments PLC,2018
0.0381,0.3811,0.3430,2624,Siltronic AG,2018
0.0792,1.1352,0.7656,3788,Banco Bradesco SA,2018
0.0000,0.9190,0.3939,2285,mBank SA,2018
0.0668,0.8013,0.9349,2995,Elevate Credit Inc,2018
0.1182,0.7683,1.4184,1692,Ser Educacional SA,2018
0.0887,0.6877,0.5324,4508,Telenet Group Holding NV,2019
0.1310,1.1137,0.6223,3053,Pendal Group Ltd,2018
0.0000,0.1880,0.8459,2128,Atomera Inc,2018
0.8725,0.2979,0.9151,4699,Match Group Inc,2018
0.2227,1.0690,0.6682,2245,CSS Industries Inc,2018
