diversity,equity,inclusion,document_length,Doc_ID
0,33,13,4077,1004063.F
0,76,19,3509,10103972.F
0,10,45,4804,1012763.F
4,14,42,3992,1012782.F
2,11,35,3784,1012785.F
1,11,27,4272,1012787.F
0,11,8,1129,1020948.F
10,16,13,4447,10221377.F
1,22,20,2251,10229958.F
10,20,62,4284,10231130.F
2,22,24,3567,10276652.F
1,7,2,832,10305562.F
0,13,8,1871,10341258.F
2,65,36,3226,10353489.F
6,12,52,4234,10354189.F
1,36,16,4751,1037620.F
3,18,17,2381,10382650.F
0,15,16,1123,10406938.F
9,29,57,2203,10418964.F
2,35,19,3825,10426026.F
4,94,73,3136,1048657.F
26,29,21,4930,10550671.F
0,9,33,3146,1065361.F
0,29,33,3559,1065377.F
10,5,16,3761,10655690.F
20,26,123,9249,10659595.F
2,19,35,3618,10679258.F
3,8,6,1303,10687439.F
6,27,64,5040,10689602.F
1,74,37,3111,10724780.F
9,12,30,4382,10733834.F
4,39,42,4448,10748343.F
0,21,28,2421,10749089.F
2,10,41,4181,10749091.F
2,5,15,2451,10781921.F
0,16,14,1628,10784487.F
1,37,33,2859,10879997.F
2,11,22,2549,10888886.F
8,95,107,8516,10909023.F
31,21,29,4218,10911177.F
5,12,7,1355,10935301.F
8,6,35,4544,10971426.F
6,36,46,4107,10980324.F
0,60,24,2296,11006220.F
2,6,23,4273,11010367.F
6,21,28,4706,11011265.F
4,33,32,3567,11011706.F
1,33,21,4538,1102148.F
3,6,32,2893,11031505.F
21,6,42,4655,11058412.F
3,13,79,4608,11060027.F
1,8,6,1076,11061268.F
1,33,56,4810,11071004.F
1,37,15,2587,11087732.F
3,23,4,2436,11091851.F
0,19,18,3120,11092385.F
4,20,60,3373,11092392.F
11,23,33,3153,11092405.F
3,18,10,2834,11093216.F
3,15,4,2418,11097096.F
0,17,13,2554,11097846.F
1,23,21,3561,11103974.F
35,30,109,12202,11103977.F
0,21,48,2720,11107347.F
3,24,30,2682,11109158.F
0,13,4,2344,11110695.F
1,40,30,4370,11119106.F
8,39,51,6474,11132279.F
0,23,23,1272,11140220.F
5,37,69,3946,11143636.F
3,31,45,3524,11169124.F
107,25,21,2827,11182428.F
1,33,31,3301,11184018.F
