diversity,equity,inclusion,document_length,firm_id,time
2.6593,6.2689,1.9087,2138.0000,Capital One Financial Corp,2020
4.1482,6.5941,4.2133,8772.0000,Trane Technologies PLC,2020
4.5491,4.3395,3.0862,3023.0000,CDW Corp,2020
4.8215,5.3412,1.6657,3633.0000,FMC Corp,2020
1.4816,1.2868,6.6962,2596.0000,Ionis Pharmaceuticals Inc,2020
4.4816,7.2548,4.4554,2861.0000,Allegheny Technologies Inc,2020
3.1722,2.1745,2.2599,2846.0000,Dell Technologies Inc,2020
4.7529,4.2823,4.3731,2733.0000,Dell Technologies Inc,2020
2.6600,4.4257,4.2692,3030.0000,Enzo Biochem Inc,2020
1.6192,6.4535,2.8858,2839.0000,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,2020
3.0467,7.2135,2.4230,2101.0000,Interactive Brokers Group Inc,2020
2.9780,2.1252,1.8968,4927.0000,Daiichi Sankyo Co Ltd,2020
2.6905,7.1090,1.3106,2675.0000,U.S. Bancorp,2020
1.0600,11.0129,3.3464,1973.0000,MamaMancini's Holdings Inc,2020
0.6111,12.3446,2.3654,3115.0000,Comtech Telecommunications Corp,2020
3.4549,11.5527,3.6715,1767.0000,Apollo Global Management Inc,2020
1.2952,1.2172,0.7859,4406.0000,Sierra Oncology Inc,2020
7.2949,2.8052,1.9368,2217.0000,AT&T Inc,2020
1.6308,4.2771,1.2242,2488.0000,New York Times Co,2020
1.7115,8.3951,1.7732,2586.0000,Williams Companies Inc,2020
5.3181,7.9897,1.4163,3416.0000,Clean Harbors Inc,2020
1.6475,1.1819,1.8921,5552.0000,Incyte Corp,2020
3.1329,9.5716,4.3907,2557.0000,Carlyle Group Inc,2020
3.2696,13.9434,1.8735,2475.0000,iStar Inc,2020
5.0475,8.5347,2.1296,2507.0000,Allstate Corp,2020
3.2022,14.9105,2.3939,2360.0000,Athene Holding Ltd,2020
0.7797,7.8938,8.3599,849.0000,Sempra Energy,2020
2.2146,8.8554,1.7655,2115.0000,Lincoln National Corp,2020
1.7125,2.5705,0.8471,2874.0000,Immunovia AB (publ),2020
1.7962,1.1275,2.8471,2278.0000,VBI Vaccines Inc,2020
2.1870,1.3422,1.1856,2919.0000,Curis Inc,2020
3.4037,3.5279,0.3724,4571.0000,Lightspeed POS Inc,2020
1.9754,9.4492,1.0519,2503.0000,Hartford Financial Services Group Inc,2020
3.1556,3.0252,1.4000,2640.0000,Boeing Co,2020
3.2857,9.4605,1.2524,3053.0000,Bank of America Corp,2020
2.5813,2.1278,1.7172,2297.0000,VMware Inc,2020
4.0947,4.2916,3.0409,1841.0000,Peloton Interactive Inc,2020
1.3880,6.7060,7.2604,4402.0000,ABM Industries Inc,2020
4.9689,3.6322,1.6503,3055.0000,MongoDB Inc,2020
2.2846,10.7301,4.9272,461.0000,Costco Wholesale Corp,2020
