diversity,equity,inclusion,document_length,firm_id,time
2.1646,4.6787,1.8380,2138.0000,Capital One Financial Corp,2020
2.7464,4.0298,3.0682,8772.0000,Trane Technologies PLC,2020
3.7189,3.7146,2.7296,3023.0000,CDW Corp,2020
3.3833,4.0506,1.6092,3633.0000,FMC Corp,2020
1.3137,1.0926,3.6473,2596.0000,Ionis Pharmaceuticals Inc,2020
3.5372,5.3823,3.2882,2861.0000,Allegheny Technologies Inc,2020
2.7107,2.0323,1.9396,2846.0000,Dell Technologies Inc,2020
3.2957,3.5901,3.1129,2733.0000,Dell Technologies Inc,2020
2.3291,3.8912,3.8261,3030.0000,Enzo Biochem Inc,2020
1.4949,4.4267,2.5770,2839.0000,Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,2020
2.8789,5.0468,2.3263,2101.0000,Interactive Brokers Group Inc,2020
2.0104,1.4204,1.5879,4927.0000,Daiichi Sankyo Co Ltd,2020
2.5472,5.3742,1.3106,2675.0000,U.S. Bancorp,2020
1.0600,8.2039,3.1708,1973.0000,MamaMancini's Holdings Inc,2020
0.6111,8.1672,2.1813,3115.0000,Comtech Telecommunications Corp,2020
2.4702,7.9203,2.7777,1767.0000,Apollo Global Management Inc,2020
1.1925,1.0994,0.7395,4406.0000,Sierra Oncology Inc,2020
4.4785,2.2351,1.8460,2217.0000,AT&T Inc,2020
1.4102,2.6081,1.1483,2488.0000,New York Times Co,2020
1.6348,6.7878,1.4674,2586.0000,Williams Companies Inc,2020
3.2675,4.9400,1.2792,3416.0000,Clean Harbors Inc,2020
1.0427,1.0149,1.5018,5552.0000,Incyte Corp,2020
2.3045,6.5067,3.2590,2557.0000,Carlyle Group Inc,2020
2.5042,9.7727,1.8422,2475.0000,iStar Inc,2020
2.7277,5.8279,1.6518,2507.0000,Allstate Corp,2020
2.7207,10.1275,2.2555,2360.0000,Athene Holding Ltd,2020
0.7797,6.9941,6.6947,849.0000,Sempra Energy,2020
2.0582,6.8777,1.3364,2115.0000,Lincoln National Corp,2020
1.5592,2.1140,0.8471,2874.0000,Immunovia AB (publ),2020
1.7199,1.0708,2.2420,2278.0000,VBI Vaccines Inc,2020
1.6247,1.1903,1.1264,2919.0000,Curis Inc,2020
2.7577,2.4706,0.3724,4571.0000,Lightspeed POS Inc,2020
1.8934,7.3536,0.9943,2503.0000,Hartford Financial Services Group Inc,2020
2.2954,2.6583,1.4000,2640.0000,Boeing Co,2020
2.6371,7.0244,1.2524,3053.0000,Bank of America Corp,2020
1.8815,1.8590,1.5010,2297.0000,VMware Inc,2020
3.3385,3.7419,2.9200,1841.0000,Peloton Interactive Inc,2020
1.3880,5.1246,4.0093,4402.0000,ABM Industries Inc,2020
4.1819,3.0669,1.5357,3055.0000,MongoDB Inc,2020
2.2846,8.5237,4.0836,461.0000,Costco Wholesale Corp,2020
4.5759,2.4696,2.4458,2324.0000,MongoDB Inc,2020
