firm_id,diversity,inclusion,equity
AB Science SA,1.193,0.6968,1.379
ABM Industries Inc,1.9193,6.5042,6.4905
AT&T Inc,7.1417,1.4425,1.6665
AYR Strategies Inc,4.4495,3.7995,8.2561
Adbri Ltd,3.1922,2.2969,8.4483
Agios Pharmaceuticals Inc,2.7005,2.4934,4.5518
Allegheny Technologies Inc,5.7405,4.2793,6.7602
Allstate Corp,5.3974,4.2711,8.56
Alphatec Holdings Inc,2.4464,3.4571,6.6989
American Outdoor Brands Inc,5.5064,1.9556,7.8027
Anavex Life Sciences Corp,1.9638,2.2051,1.8915
Anterix Inc,5.1519,2.7627,5.482
Aphria Inc,2.559,5.286,4.6153
Apollo Global Management Inc,5.3321,3.9587,9.6539
Arcturus Therapeutics Holdings Inc,3.413,1.15,0.9309
Ark Restaurants Corp,0.659,0.9593,14.7055
Athene Holding Ltd,2.5534,2.3085,13.4902
B3 SA Brasil Bolsa Balcao,2.55065,4.1968499999999995,8.4103
Bank of America Corp,3.5613,1.059,9.8635
Beigene Ltd,1.5656,6.924,3.0586
Boeing Co,4.81,1.0108,2.7693
Bridgeline Digital Inc,1.3433,6.5892,16.4085
CDW Corp,4.3285,4.0288,4.0351
CR2 EMPREENDIMENTOS IMOBILIARIOS SA,0.0,4.6349,22.2195
CSP Inc,1.5925,4.2771,5.738
Capital One Financial Corp,3.1244,1.8262,7.8865
Carlyle Group Inc,4.0738,4.4952,8.8549
Castellum AB,2.24985,0.0,21.0429
ChemoCentryx Inc,1.5327,1.0109,2.0466
China Finance Online Co Ltd,0.6438,11.4095,19.2916
Clean Harbors Inc,2.8373,1.219,6.9165
Colgate-Palmolive (India) Ltd,9.7826,1.7119,2.7775
Columbia Care Inc,3.0946,2.2476,3.712
Comtech Telecommunications Corp,0.789,2.3533,13.4427
Costco Wholesale Corp,1.6743,5.6255,10.7301
Crowdstrike Holdings Inc,3.40935,1.0331000000000001,2.21765
Curis Inc,5.5227,1.0314,1.329
Daiichi Sankyo Co Ltd,3.6434,3.1171,1.8124
Dell Technologies Inc,3.55985,1.9154999999999998,2.9101
Delphi Energy Corp,0.0,5.9427,3.4924
Diamondback Energy Inc,1.8351,2.4579,10.9788
Duerr AG,3.6509,6.1446,5.0561
Emerson Electric Co,1.8251,1.5354,3.4191
Energisa SA,0.364,1.3709,7.1603
Enzo Biochem Inc,3.0054,4.9899,4.5543
EverQuote Inc,3.4615,2.276,2.9373
Exela Technologies Inc,0.3818,2.5515,10.9232
FMC Corp,2.7693,2.274,5.1701
Ferrellgas Partners LP,0.0,6.9815,13.0309
Forest Investments Inc,0.7824,3.8467,34.0702
Fortive Corp,4.3061,2.3741,4.9857
Fubon Financial Holding Co Ltd,0.6913,3.3967,11.7765
Galaxy Gaming Inc,4.1641,1.1355,2.571
Groupon Inc,5.482,1.0776,3.4233000000000002
Hanwha Solutions Corp,2.4886,5.2116,8.5979
Harmony Biosciences Holdings Inc,4.0765,1.1933,1.0539
Hartford Financial Services Group Inc,1.7731,0.7578,9.58
Hexindai Inc,2.0961,7.2147,10.2741
Horizon Therapeutics PLC,2.2927,0.9677,2.5174
Immunovia AB (publ),1.7794,1.1452,2.813
InRetail Peru Corp,2.5664,5.6801,6.0677
Incyte Corp,2.7024,1.2194,1.0578
Ingenia Communities Group,4.2644,1.9697,5.2506
Integra Lifesciences Holdings Corp,0.9519,3.0867,8.5545
Interactive Brokers Group Inc,2.6573,2.8576,6.679
Investors Bancorp Inc,1.0195,2.9796,11.8158
Invisio AB,3.8232,4.7338,2.9304
Ionis Pharmaceuticals Inc,3.5258,4.6766,0.941
Juniper Industrial Holdings Inc,2.5337,3.704,7.8551
Jupiter Mines Ltd,0.0,3.9636,12.6679
Karyopharm Therapeutics Inc,1.5502,1.6211,1.5156
Koninklijke Philips NV,2.2045,4.7567,3.1065
Leslie's Inc,2.3908,3.105,10.9902
Lightspeed POS Inc,3.3459,0.3675,3.5831
Lincoln National Corp,2.2693,1.8522,7.9736
Lockheed Martin Corp,2.8028,6.606,8.1497
MDC Partners Inc,1.2285,2.4772,9.0329
MIX Telematics Ltd,1.3642,3.0198,3.4561
MacroGenics Inc,2.1105,1.7813,3.1775
MamaMancini's Holdings Inc,1.1508,3.8424,10.1248
MeiraGTx Holdings PLC,1.4268,1.4247,2.2706
Mesoblast Ltd,2.7754,1.5429,0.5124
Moncler SpA,3.8655,3.5949,3.4203
MongoDB Inc,2.94085,2.16885,2.93485
Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,0.6688,2.989,8.0319
Myovant Sciences Ltd,2.7271,6.4799,4.3950499999999995
NVIDIA Corp,7.0723,1.935,2.6766
NantKwest Inc,1.5626,3.5485,1.2073
Navin Fluorine International Ltd,4.3608,2.1681,4.6935
New York Times Co,2.8326,1.0805,3.4253
News Corp,2.9206,2.4658,4.8376
Novo Nordisk A/S,2.0616,1.605,2.3379
OTC Markets Group Inc,1.4281,1.7653,4.2818
Optical Cable Corp,0.4886,2.382,14.6929
Otonomy Inc,2.9674,1.6874,0.9373
Park24 Co Ltd,1.4223,3.7288,26.1055
Peabody Energy Corp,0.5134,1.6909,30.688
Peloton Interactive Inc,3.0146,3.1033,3.1497
Polaris Infrastructure Inc,0.6639,0.5898,25.4051
Portman Ridge Finance Corp,1.1157,2.2317,22.1803
Premier Gold Mines Ltd,1.7016,4.2926,9.4524
Premier Oil PLC,1.6508,2.9244,8.1026
Rent-A-Center Inc,2.4628,3.1079,7.6275
Rhythm Pharmaceuticals Inc,2.042,1.2389,1.7558
SPS Commerce Inc,1.326,1.1857,7.756
