diversity,equity,inclusion,document_length,Doc_ID
17,81,15,2138,13537424.F
104,314,114,8772,13537426.F
43,78,32,3023,13537430.F
47,107,21,3633,13537433.F
12,21,51,2596,13537435.F
35,105,38,2861,13537436.F
27,42,21,2846,13537440.F
38,72,36,2733,13537441.F
23,82,44,3030,13537446.F
13,99,27,2839,13537448.F
21,99,17,2101,13537460.F
37,74,34,4927,13537465.F
23,101,12,2675,13537466.F
7,127,23,1973,13537467.F
7,206,26,3115,13537468.F
15,102,20,1767,13537469.F
18,37,15,4406,13537478.F
41,40,15,2217,13537479.F
13,57,11,2488,13537480.F
14,128,14,2586,13537492.F
47,125,15,3416,13537495.F
25,38,32,5552,13537497.F
21,129,35,2557,13537499.F
22,188,17,2475,13537500.F
29,132,16,2507,13537505.F
21,177,19,2360,13537507.F
2,36,23,849,13537529.F
14,102,12,2115,13537531.F
17,45,9,2874,13537597.F
14,15,21,2278,13537598.F
18,27,12,2919,13537645.F
49,109,6,4571,13537662.F
16,121,10,2503,13537686.F
23,47,14,2640,13537694.F
29,158,13,3053,13537729.F
15,25,16,2297,13537752.F
21,46,19,1841,13537756.F
20,179,86,4402,13537759.F
43,65,18,3055,13537760.F
3,28,8,461,13537761.F
38,48,22,2324,13537766.F
38,95,26,3288,13537773.F
4,103,14,1597,13537775.F
39,47,18,3067,13537776.F
17,30,7,2012,13537781.F
20,77,19,2311,13537782.F
42,62,23,2923,13537786.F
35,41,9,1999,13537787.F
13,18,14,2253,13537846.F
71,186,24,3967,13537857.F
44,107,50,3787,13560187.F
11,169,27,2723,13560190.F
20,227,57,4825,13560219.F
31,113,66,4112,13560229.F
23,75,23,3770,13560233.F
61,88,17,5366,13560254.F
4,46,5,948,13560255.F
10,70,21,1635,13560305.F
147,115,34,5869,13560318.F
8,58,10,881,13560403.F
38,100,19,3164,13560404.F
49,332,82,7175,13560525.F
61,319,72,6361,13560530.F
9,43,12,4023,13561078.F
8,59,20,2634,13562152.F
9,152,33,2046,13562155.F
8,67,30,1600,13562158.F
7,107,15,1285,13562191.F
20,50,14,3301,13562195.F
5,118,15,2762,13562260.F
38,208,37,4359,13562262.F
24,46,23,2301,13562268.F
84,222,47,7837,13562281.F
30,65,20,2763,13562311.F
23,39,4,2102,13562315.F
31,254,37,5449,13562316.F
22,56,9,1389,13562323.F
23,119,56,2938,13562541.F
8,21,15,1906,13562592.F
10,34,7,1956,13562597.F
8,42,30,2269,13562608.F
20,85,35,2190,13562609.F
24,20,17,3519,13562672.F
18,81,10,3713,13562693.F
1,46,9,843,13562714.F
6,63,5,1484,13562724.F
0,35,5,349,13562733.F
25,222,41,3960,13562870.F
6,213,8,2631,13562934.F
5,105,3,974,13562956.F
13,149,27,1825,13563047.F
21,9,14,2025,13563098.F
51,158,43,3688,13563099.F
19,68,17,2266,13563127.F
41,98,39,3703,13563145.F
15,63,18,2611,13563161.F
12,40,29,1919,13563272.F
10,63,28,1350,13563505.F
10,34,5,748,13563528.F
3,30,8,842,13563537.F
1,16,2,322,13563565.F
2,43,1,486,13563845.F
2,133,19,1955,13563893.F
196,105,28,7810,13563967.F
14,36,26,3691,13563970.F
23,80,28,3618,13564358.F
21,113,37,2211,13565463.F
2,73,1,792,13565497.F
7,59,29,1558,13565531.F
3,82,14,1476,13565633.F
0,10,13,699,13565635.F
6,39,22,1861,13565783.F
19,218,26,3471,13565804.F
7,122,33,2420,13565829.F
18,107,34,4009,13565835.F
11,35,28,1277,13565841.F
27,140,28,3035,13565873.F
14,18,26,3332,13565881.F
22,64,16,2607,13566060.F
1,46,13,1466,13566244.F
37,108,30,3416,13566246.F
1,111,21,1327,13566264.F
18,65,13,4521,13566282.F
16,93,31,2646,13566297.F
23,42,37,2122,13566430.F
8,40,9,1397,13566662.F
31,56,22,5085,13566735.F
11,82,10,1606,13566748.F
4,98,17,1102,13566914.F
6,19,14,1571,13566921.F
60,122,42,4958,13566923.F
31,113,29,2460,13566933.F
19,99,26,2071,13566941.F
3,167,20,1201,13566994.F
14,40,3,2964,13567142.F
15,59,37,1296,13567208.F
22,155,49,4487,13567213.F
19,32,47,3621,13567836.F
15,294,22,2906,13568083.F
18,47,10,1474,13568718.P
1,190,13,1524,13568922.F
29,63,176,5464,13569009.F
21,71,71,3412,13570184.F
4,60,27,1728,13570369.F
1,117,42,1389,13570396.F
8,70,48,1855,13570425.F
0,26,7,436,13570635.F
17,18,13,3282,13570670.F
78,346,90,7639,13571072.F
5,204,35,2834,13571921.F
